2 1697.62
4 2768.58
6 3562.62
8 4164.61
10 4638.34
12 4969.11
14 5228.87
16 5442.10
18 5615.12
20 5758.53
22 5879.63
24 5981.38
26 6070.23
28 6148.54
30 6215.17
32 6272.22
40 6443.49
50 6578.40
60 6677.10
70 6752.50
90 6871.00
100 6914.18
110 6948.47
120 6973.26
130 6996.03
140 7017.22
150 7036.99
160 7053.39
170 7066.64
180 7074.81
190 7082.18
200 7089.49
210 7096.86
220 7104.16
230 7112.91
240 7117.80
250 7123.85
260 7129.26
270 7132.91
280 7137.56
290 7142.19
300 7147.17
400 7174.58
500 7193.90
600 7206.90
700 7213.91
800 7218.24
