Step      1 (physical time  1.000 ms) | Performance: 8827.88 ms (1611.61 MLU/sec) | timings: 8827.77 
Step      1 (physical time  1.000 ms) | Performance: 8988.38 ms (1612.69 MLU/sec) | timings: 8988.28 
Step      1 (physical time  1.000 ms) | Performance: 9142.09 ms (1614.94 MLU/sec) | timings: 9142.01 
Step      1 (physical time  1.000 ms) | Performance: 9325.96 ms (1611.89 MLU/sec) | timings: 9325.83 
Step      1 (physical time  1.000 ms) | Performance: 9494.41 ms (1611.56 MLU/sec) | timings: 9494.27 
Step      1 (physical time  1.000 ms) | Performance: 9647.62 ms (1613.79 MLU/sec) | timings: 9647.49 
Step      1 (physical time  1.000 ms) | Performance: 9823.67 ms (1612.20 MLU/sec) | timings: 9823.56 
Step      1 (physical time  1.000 ms) | Performance: 10101.74 ms (1594.39 MLU/sec) | timings: 10101.52 
Step      1 (physical time  1.000 ms) | Performance: 10152.21 ms (1612.91 MLU/sec) | timings: 10152.05 
Step      1 (physical time  1.000 ms) | Performance: 10357.35 ms (1606.88 MLU/sec) | timings: 10357.20 
Step      1 (physical time  1.000 ms) | Performance: 10501.24 ms (1610.42 MLU/sec) | timings: 10501.10 
Step      1 (physical time  1.000 ms) | Performance: 10663.30 ms (1611.12 MLU/sec) | timings: 10663.20 
Step      1 (physical time  1.000 ms) | Performance: 10641.69 ms (1614.39 MLU/sec) | timings: 10641.57 
Step      1 (physical time  1.000 ms) | Performance: 10748.44 ms (1598.36 MLU/sec) | timings: 10748.29 
Step      1 (physical time  1.000 ms) | Performance: 10846.05 ms (1583.97 MLU/sec) | timings: 10845.97 
Step      1 (physical time  1.000 ms) | Performance: 10656.17 ms (1612.20 MLU/sec) | timings: 10656.02 
Step      1 (physical time  1.000 ms) | Performance: 10616.02 ms (1618.30 MLU/sec) | timings: 10615.90 
